,Accuracy,Labels
0,0.55,Sorted Labels
1,0.55,Sorted Labels
2,0.4,Sorted Labels
3,0.5,Sorted Labels
4,0.35,Sorted Labels
5,0.35,Sorted Labels
6,0.5,Sorted Labels
7,0.5,Sorted Labels
8,0.35,Sorted Labels
9,0.4,Sorted Labels
10,0.6,Sorted Labels
11,0.5,Sorted Labels
12,0.65,Sorted Labels
13,0.7,Sorted Labels
14,0.45,Sorted Labels
15,0.4,Sorted Labels
16,0.7,Sorted Labels
17,0.6,Sorted Labels
18,0.45,Sorted Labels
19,0.6,Sorted Labels
20,0.45,Sorted Labels
21,0.35,Sorted Labels
22,0.5,Sorted Labels
23,0.6,Sorted Labels
24,0.65,Sorted Labels
25,0.4,Sorted Labels
26,0.55,Sorted Labels
27,0.6,Sorted Labels
28,0.55,Sorted Labels
29,0.6,Sorted Labels
30,0.6,Sorted Labels
31,0.5,Sorted Labels
32,0.7,Sorted Labels
33,0.5,Sorted Labels
34,0.6,Sorted Labels
35,0.4,Sorted Labels
36,0.25,Sorted Labels
37,0.6,Sorted Labels
38,0.6,Sorted Labels
39,0.45,Sorted Labels
40,0.55,Sorted Labels
41,0.4,Sorted Labels
42,0.65,Sorted Labels
43,0.4,Sorted Labels
44,0.6,Sorted Labels
45,0.35,Sorted Labels
46,0.6,Sorted Labels
47,0.55,Sorted Labels
48,0.4,Sorted Labels
49,0.45,Sorted Labels
50,0.55,Sorted Labels
51,0.55,Sorted Labels
52,0.45,Sorted Labels
53,0.7,Sorted Labels
54,0.55,Sorted Labels
55,0.6,Sorted Labels
56,0.5,Sorted Labels
57,0.5,Sorted Labels
58,0.45,Sorted Labels
59,0.45,Sorted Labels
60,0.5,Sorted Labels
61,0.55,Sorted Labels
62,0.6,Sorted Labels
63,0.6,Sorted Labels
64,0.6,Sorted Labels
65,0.45,Sorted Labels
66,0.5,Sorted Labels
67,0.5,Sorted Labels
68,0.5,Sorted Labels
69,0.45,Sorted Labels
70,0.45,Sorted Labels
71,0.4,Sorted Labels
72,0.6,Sorted Labels
73,0.45,Sorted Labels
74,0.5,Sorted Labels
75,0.55,Sorted Labels
76,0.45,Sorted Labels
77,0.75,Sorted Labels
78,0.6,Sorted Labels
79,0.4,Sorted Labels
80,0.65,Sorted Labels
81,0.65,Sorted Labels
82,0.75,Sorted Labels
83,0.55,Sorted Labels
84,0.55,Sorted Labels
85,0.35,Sorted Labels
86,0.4,Sorted Labels
87,0.4,Sorted Labels
88,0.6,Sorted Labels
89,0.35,Sorted Labels
90,0.6,Sorted Labels
91,0.6,Sorted Labels
92,0.6,Sorted Labels
93,0.5,Sorted Labels
94,0.45,Sorted Labels
95,0.45,Sorted Labels
96,0.65,Sorted Labels
97,0.35,Sorted Labels
98,0.5,Sorted Labels
99,0.35,Sorted Labels
100,0.5,Sorted Labels
101,0.55,Sorted Labels
102,0.45,Sorted Labels
103,0.55,Sorted Labels
104,0.45,Sorted Labels
105,0.55,Sorted Labels
106,0.55,Sorted Labels
107,0.75,Sorted Labels
108,0.5,Sorted Labels
109,0.55,Sorted Labels
110,0.55,Sorted Labels
111,0.5,Sorted Labels
112,0.6,Sorted Labels
113,0.6,Sorted Labels
114,0.5,Sorted Labels
115,0.4,Sorted Labels
116,0.45,Sorted Labels
117,0.65,Sorted Labels
118,0.3,Sorted Labels
119,0.65,Sorted Labels
120,0.45,Sorted Labels
121,0.5,Sorted Labels
122,0.55,Sorted Labels
123,0.5,Sorted Labels
124,0.55,Sorted Labels
125,0.5,Sorted Labels
126,0.35,Sorted Labels
127,0.5,Sorted Labels
128,0.4,Sorted Labels
129,0.4,Sorted Labels
130,0.5,Sorted Labels
131,0.45,Sorted Labels
132,0.4,Sorted Labels
133,0.55,Sorted Labels
134,0.5,Sorted Labels
135,0.55,Sorted Labels
136,0.6,Sorted Labels
137,0.6,Sorted Labels
138,0.4,Sorted Labels
139,0.4,Sorted Labels
140,0.35,Sorted Labels
141,0.45,Sorted Labels
142,0.7,Sorted Labels
143,0.55,Sorted Labels
144,0.45,Sorted Labels
145,0.4,Sorted Labels
146,0.45,Sorted Labels
147,0.55,Sorted Labels
148,0.55,Sorted Labels
